Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
Condax,WZU2OHYU,Corliss Cosme,Won,GTX Basic,2/3/17,5/5/17,515
Ganjaflex,HVODWXRO,Daniell Hammack,Lost,MG Special,2/3/17,5/1/17,0
Umbrella Corporation,N3JIVUNY,Donn Cantrell,Lost,MG Advanced,2/3/17,5/11/17,0
Goodsilron,RGCH6CUF,Hayden Neloms,Won,GTX Plus Basic,2/3/17,6/20/17,975
Sunnamplex,JX7WZ9UP,Hayden Neloms,Won,MG Advanced,2/3/17,5/1/17,3376
Fasehatice,FDCEBWRI,James Ascencio,Won,GTX Basic,2/3/17,3/12/17,458
Globex Corporation,ZL6TJDPG,Jonathan Berthelot,Lost,GTX Basic,2/3/17,5/16/17,0
Golddex,DWBSHB8M,Kami Bicknell,Lost,GTX Basic,2/3/17,5/23/17,0
Golddex,0AJ6LTZ0,Kami Bicknell,Won,GTX Basic,2/3/17,3/14/17,622
Lexiqvolax,SVMB8M7E,Kami Bicknell,Won,GTX Basic,2/3/17,6/9/17,441
Konex,6AWEAWCM,Kary Hendrixson,Lost,GTXPro,2/3/17,5/15/17,0
Ron-tech,4Q4NBPD6,Marty Freudenburg,Won,GTX Basic,2/3/17,5/21/17,538
Goodsilron,K8VSDOP8,Maureen Marcano,Won,GTX Plus Pro,2/3/17,3/29/17,4667
Codehow,YNP9PI1X,Niesha Huffines,Won,GTX Plus Basic,2/3/17,6/15/17,1018
Bluth Company,3XVY4LEU,Reed Clapper,Won,GTXPro,2/3/17,5/9/17,4671
,OCGXWE8H,Vicki Laflamme,In Progress,MG Special,2/3/17,,
Bubba Gump,8K1OGB0R,Violet Mclelland,Won,GTXPro,2/3/17,5/16/17,4634
J-Texon,RTKUPEX7,Zane Levy,Lost,GTX Plus Basic,2/3/17,6/10/17,0
Warephase,QQDO45YR,Cecily Lampkin,Won,MG Advanced,2/4/17,5/9/17,3470
Dontechi,USVLKDF4,Corliss Cosme,In Progress,GTX Basic,2/4/17,,
Silis,HT25XIAV,Daniell Hammack,Lost,GTX Plus Basic,2/4/17,5/18/17,0
Acme Corporation,88KUDE6J,Donn Cantrell,Won,GTX Plus Pro,2/4/17,5/30/17,5366
Rundofase,AOOD3MWW,Gladys Colclough,Lost,GTX Plus Basic,2/4/17,5/26/17,0
Cheers,JCPQZ2SN,Hayden Neloms,In Progress,GTX Plus Basic,2/4/17,,
,HZIU2NOT,Kary Hendrixson,In Progress,GTX Plus Pro,2/4/17,,
Groovestreet,RZ2PUH86,Kary Hendrixson,Won,GTX Basic,2/4/17,5/17/17,582
Sunnamplex,GLVSDQQT,Kary Hendrixson,Won,GTX Basic,2/4/17,5/2/17,583
dambase,107BPCAS,Niesha Huffines,Lost,GTX Basic,2/4/17,5/16/17,0
Fasehatice,OCLEO3CD,Vicki Laflamme,Won,GTX Plus Pro,2/4/17,5/19/17,6079
Fasehatice,FTVCNH87,Zane Levy,Lost,GTX Plus Basic,2/4/17,5/7/17,0
Konex,GQCRMEIL,Zane Levy,Won,GTX Plus Basic,2/4/17,6/2/17,1068
Cancity,UK2JIE61,Anna Snelling,Won,MG Special,2/5/17,5/4/17,55
Sumace,YM8DBAFV,Cassey Cress,In Progress,GTX Basic,2/5/17,,
Yearin,AEDL7EC6,Cassey Cress,Lost,MG Advanced,2/5/17,5/2/17,0
Betasoloin,OV5X3O5I,Cassey Cress,Won,GTX Basic,2/5/17,3/27/17,493
Ron-tech,MMWX1A4H,Darcel Schlecht,Lost,GTX Plus Basic,2/5/17,6/20/17,0
Condax,LSVMMUJ0,Darcel Schlecht,Won,GTXPro,2/5/17,3/25/17,5559
Mathtouch,RP7KA6HS,Elease Gluck,In Progress,MG Special,2/5/17,,
Scotfind,97KFQSX1,Elease Gluck,Won,MG Advanced,2/5/17,5/9/17,3351
Isdom,08APB75Q,Lajuana Vencill,Won,GTX Basic,2/5/17,5/13/17,501
,P9PFSLS6,Maureen Marcano,In Progress,MG Special,2/5/17,,
Inity,6RL97BR9,Moses Frase,Lost,MG Special,2/5/17,5/8/17,0
Mathtouch,TPVFA5B8,Reed Clapper,Won,GTX Basic,2/5/17,5/7/17,532
Sonron,FHLOUD3V,Vicki Laflamme,Lost,MG Special,2/5/17,5/24/17,0
Green-Plus,4E01ALB0,Vicki Laflamme,Won,MG Advanced,2/5/17,5/4/17,3103
,E4THD359,Wilburn Farren,In Progress,GTX Basic,2/5/17,,
Gekko & Co,K4HVGBVH,Corliss Cosme,Won,GTX Plus Pro,2/6/17,5/22/17,5505
Isdom,6VIK2VX8,Hayden Neloms,In Progress,MG Special,2/6/17,,
Zoomit,30R81VZX,Kami Bicknell,In Progress,GTXPro,2/6/17,,
Y-corporation,XDLQ71X4,Kami Bicknell,Lost,GTX Plus Basic,2/6/17,5/22/17,0
,TH9RV79M,Maureen Marcano,In Progress,MG Special,2/6/17,,
Rangreen,L33YUX9V,Moses Frase,Won,GTX Plus Basic,2/6/17,5/15/17,1068
Cheers,QT7LRWTN,Vicki Laflamme,Won,MG Advanced,2/6/17,5/4/17,3357
Mathtouch,Q1JKHY7H,Violet Mclelland,Lost,MG Special,2/6/17,5/6/17,0
Sonron,BY0O646G,Zane Levy,Lost,GTX Basic,2/6/17,5/27/17,0
Finjob,5831YZMT,Zane Levy,Won,GTX Basic,2/6/17,6/23/17,532
,7VOW7BUJ,Cassey Cress,In Progress,GTXPro,2/7/17,,
,2J5E145N,Daniell Hammack,In Progress,GTXPro,2/7/17,,
Condax,AZUBCO7L,Daniell Hammack,Lost,MG Advanced,2/7/17,5/6/17,0
Funholding,FOWAY95L,Darcel Schlecht,Won,GTX Plus Pro,2/7/17,5/5/17,5786
,YFB7Y92U,Elease Gluck,In Progress,GTK 500,2/7/17,,
Sonron,KGZL60NI,Hayden Neloms,Lost,GTX Plus Basic,2/7/17,5/11/17,0
Streethex,SRZMNS79,Jonathan Berthelot,Won,GTX Plus Basic,2/7/17,5/19/17,1131
Y-corporation,S6645YWA,Kami Bicknell,In Progress,GTX Basic,2/7/17,,
Umbrella Corporation,B5A1BERF,Kami Bicknell,In Progress,GTXPro,2/7/17,,
Scotfind,0XMB83YO,Kami Bicknell,Won,GTX Plus Pro,2/7/17,5/15/17,5401
Konmatfix,4TEO0LE1,Marty Freudenburg,Won,GTX Plus Basic,2/7/17,3/28/17,1062
,IEAPJ5X1,Maureen Marcano,In Progress,GTX Plus Basic,2/7/17,,
Zotware,5P82H5AA,Reed Clapper,Won,MG Advanced,2/7/17,3/23/17,3695
Condax,BN8UTT8O,Rosie Papadopoulos,Lost,MG Special,2/7/17,6/4/17,0
Finhigh,V751HK8R,Versie Hillebrand,Won,MG Special,2/7/17,6/3/17,60
Groovestreet,H4TBCR80,Vicki Laflamme,Lost,GTXPro,2/7/17,5/28/17,0
Singletechno,QWL218JV,Vicki Laflamme,Won,MG Advanced,2/7/17,6/13/17,2919
,L2S4T3VA,Cassey Cress,In Progress,GTX Plus Pro,2/8/17,,
Betatech,AF8NG5JC,Cassey Cress,In Progress,MG Special,2/8/17,,
,IVJP36UT,Cassey Cress,In Progress,MG Advanced,2/8/17,,
Plussunin,12M4HB7G,Cassey Cress,Won,GTX Basic,2/8/17,5/1/17,623
Umbrella Corporation,1XVTUE5J,Corliss Cosme,Lost,MG Special,2/8/17,3/31/17,0
Scottech,3VKO28KR,Darcel Schlecht,Lost,MG Advanced,2/8/17,5/4/17,0
Genco Pura Olive Oil Company,9A9E1KPG,Elease Gluck,In Progress,GTX Basic,2/8/17,,
Scotfind,5IES0B4B,James Ascencio,Won,MG Special,2/8/17,5/4/17,49
Stanredtax,HUFYU0AT,Jonathan Berthelot,Lost,GTX Basic,2/8/17,5/24/17,0
Codehow,GMI6XZ4O,Jonathan Berthelot,Won,GTX Basic,2/8/17,5/4/17,612
,TF19VML9,Kami Bicknell,In Progress,GTX Plus Basic,2/8/17,,
Hottechi,YOQCQ4UO,Kami Bicknell,Won,GTX Basic,2/8/17,3/18/17,534
Condax,KOZTDBJ5,Kami Bicknell,Won,GTX Plus Basic,2/8/17,6/7/17,1103
,ZHXIDZNI,Kary Hendrixson,In Progress,GTXPro,2/8/17,,
Conecom,8NMPO9K3,Lajuana Vencill,Won,GTX Basic,2/8/17,5/10/17,582
Condax,PU7GV4MK,Marty Freudenburg,Lost,MG Advanced,2/8/17,5/13/17,0
Cancity,RCQDGE4W,Marty Freudenburg,Won,GTX Plus Pro,2/8/17,5/4/17,6292
Funholding,ZT832XIR,Niesha Huffines,Lost,MG Special,2/8/17,6/25/17,0
Groovestreet,I995O4XJ,Rosalina Dieter,Won,MG Special,2/8/17,5/24/17,63
Globex Corporation,EOXZGSX9,Versie Hillebrand,Won,MG Advanced,2/8/17,5/13/17,3522
Konex,PW5OGY78,Vicki Laflamme,Lost,MG Special,2/8/17,5/29/17,0
Plexzap,NJCSG7MX,Vicki Laflamme,Won,GTX Basic,2/8/17,5/4/17,532
Iselectrics,ZYRF768H,Violet Mclelland,Lost,MG Special,2/8/17,5/4/17,0
Kinnamplus,5Q8BQ64R,Wilburn Farren,Won,MG Advanced,2/8/17,5/22/17,3645
Y-corporation,ZNNBFAKF,Zane Levy,Lost,GTXPro,2/8/17,5/10/17,0
Gogozoom,L47EPGVT,Anna Snelling,Won,GTX Plus Pro,2/9/17,3/1/17,4760
Betasoloin,9GENDMWA,Corliss Cosme,Won,GTX Basic,2/9/17,5/25/17,603
Bioplex,DHACLHPS,Daniell Hammack,Lost,GTX Basic,2/9/17,5/22/17,0
Yearin,GKLE0CDI,Daniell Hammack,Won,MG Advanced,2/9/17,3/2/17,3249
Dontechi,E9DJS1D8,Darcel Schlecht,Lost,GTXPro,2/9/17,3/17/17,0
Statholdings,22ZJM20V,Darcel Schlecht,Lost,GTXPro,2/9/17,5/18/17,0
Zumgoity,C47Z92AG,Darcel Schlecht,Lost,GTXPro,2/9/17,5/9/17,0
Acme Corporation,XT9YNOV2,Donn Cantrell,Won,GTX Plus Pro,2/9/17,6/11/17,5724
Groovestreet,TMZQX7F8,Hayden Neloms,Lost,GTX Plus Basic,2/9/17,5/2/17,0
Plexzap,5JHSTFEZ,Hayden Neloms,Lost,GTX Plus Basic,2/9/17,5/11/17,0
Faxquote,BAOSO1I2,Kary Hendrixson,Won,GTX Basic,2/9/17,5/2/17,516
Rangreen,IZDF2RTL,Marty Freudenburg,Won,GTX Plus Basic,2/9/17,5/27/17,1050
Plexzap,F61DLVRS,Maureen Marcano,Won,GTX Plus Pro,2/9/17,5/23/17,4519
Funholding,80F0J70G,Niesha Huffines,Lost,GTX Basic,2/9/17,5/25/17,0
Dontechi,S9W53L4L,Niesha Huffines,Won,GTX Basic,2/9/17,6/5/17,672
Mathtouch,12OQKSVK,Reed Clapper,Won,GTX Plus Basic,2/9/17,3/20/17,896
Konex,VC94R5H8,Vicki Laflamme,Won,GTX Basic,2/9/17,3/23/17,587
Sonron,XTKIX6I4,Vicki Laflamme,Won,MG Advanced,2/9/17,6/13/17,3426
Golddex,5P3NH791,Boris Faz,In Progress,MG Advanced,2/10/17,,
Ontomedia,MSE1UXKU,Cassey Cress,Won,GTXPro,2/10/17,3/20/17,5021
Rangreen,HM334UL2,Darcel Schlecht,Won,GTX Plus Basic,2/10/17,3/30/17,1126
Umbrella Corporation,L4124UJG,Donn Cantrell,Won,GTXPro,2/10/17,5/15/17,5473
Sunnamplex,DR2QE1RW,Elease Gluck,Lost,MG Special,2/10/17,5/30/17,0
Rantouch,FD8YL177,Elease Gluck,Won,MG Special,2/10/17,5/9/17,51
Scotfind,X3ZSQCH8,Kami Bicknell,In Progress,GTX Basic,2/10/17,,
Sonron,UU21EYFN,Kami Bicknell,Won,GTX Basic,2/10/17,3/6/17,563
Isdom,OBDRD0AD,Lajuana Vencill,Lost,GTX Basic,2/10/17,5/26/17,0
Opentech,NSGEM06J,Reed Clapper,Lost,GTX Basic,2/10/17,5/14/17,0
Kan-code,QSQ42Q6M,Reed Clapper,Won,MG Advanced,2/10/17,6/15/17,2928
Zathunicon,PCBA3KAV,Reed Clapper,Won,MG Advanced,2/10/17,6/5/17,3618
Inity,ZBBMGEV4,Darcel Schlecht,Won,GTX Plus Basic,2/11/17,5/16/17,1189
Donquadtech,TYSORYA9,Donn Cantrell,Lost,GTX Basic,2/11/17,5/7/17,0
Hatfan,ULVXOPG3,Elease Gluck,Won,MG Special,2/11/17,5/22/17,60
,5BXUKFPR,James Ascencio,In Progress,GTX Plus Pro,2/11/17,,
Statholdings,G0R305KO,Jonathan Berthelot,Lost,GTX Plus Basic,2/11/17,5/11/17,0
Cheers,ZDZGCWX7,Kami Bicknell,Won,GTX Basic,2/11/17,6/22/17,545
Labdrill,PQJZ5Z3R,Kami Bicknell,Won,MG Advanced,2/11/17,5/12/17,3035
,8AJG1YLJ,Kary Hendrixson,In Progress,GTX Basic,2/11/17,,
Konex,7KXTF2Q6,Kary Hendrixson,Won,GTX Basic,2/11/17,6/23/17,584
Scotfind,WZVE1NTM,Markita Hansen,Lost,MG Special,2/11/17,5/15/17,0
Cheers,M6UEZLOQ,Maureen Marcano,Won,GTX Plus Basic,2/11/17,6/23/17,1069
Xx-holding,D6T5MM04,Maureen Marcano,Won,GTX Plus Basic,2/11/17,6/22/17,1035
Golddex,5RNWV17L,Rosalina Dieter,In Progress,MG Advanced,2/11/17,,
Ganjaflex,9GCJGVY7,Rosie Papadopoulos,Lost,GTXPro,2/11/17,3/2/17,0
Scotfind,5QBQMEY5,Vicki Laflamme,Won,GTXPro,2/11/17,3/24/17,4510
Vehement Capital Partners,9JKVM4BK,Violet Mclelland,Lost,GTX Plus Basic,2/11/17,6/5/17,0
Zotware,14PBBHSE,Violet Mclelland,Won,MG Special,2/11/17,5/8/17,49
Rundofase,P1KS5YFX,Anna Snelling,Won,MG Special,2/12/17,6/7/17,59
Kan-code,7R4VL3Q8,Cassey Cress,Won,GTXPro,2/12/17,3/4/17,4705
Zumgoity,3MNZF5ZK,Cecily Lampkin,Won,GTX Plus Pro,2/12/17,6/3/17,5148
Ganjaflex,52SANIGE,Corliss Cosme,Won,GTXPro,2/12/17,5/8/17,4833
Mathtouch,73SY9EU8,Daniell Hammack,Won,GTXPro,2/12/17,5/31/17,4664
Plussunin,HVM656P3,Donn Cantrell,Won,GTX Basic,2/12/17,5/12/17,475
,LXM6CTMS,Hayden Neloms,In Progress,GTX Plus Basic,2/12/17,,
Labdrill,U2SW8DT1,Hayden Neloms,Won,MG Advanced,2/12/17,6/13/17,3807
Faxquote,VXMFL425,James Ascencio,In Progress,GTX Basic,2/12/17,,
Stanredtax,XMH4CH4Q,Jonathan Berthelot,Won,GTX Basic,2/12/17,5/21/17,518
Dalttechnology,UNLIS3RY,Kami Bicknell,Won,GTX Plus Basic,2/12/17,5/9/17,1050
Y-corporation,GVFQXZLL,Maureen Marcano,Won,GTXPro,2/12/17,5/24/17,4596
Cheers,E887HZT1,Rosalina Dieter,In Progress,MG Advanced,2/12/17,,
,CGJ7NRZH,Violet Mclelland,In Progress,MG Special,2/12/17,,
Y-corporation,NRYC7T45,Zane Levy,Won,GTX Basic,2/12/17,5/5/17,618
Singletechno,ZVR3I3F0,Zane Levy,Won,MG Advanced,2/12/17,5/2/17,3460
Ontomedia,2TKQ8B78,Daniell Hammack,Won,GTX Plus Pro,2/13/17,5/21/17,5751
Konmatfix,OZ5O64KJ,Darcel Schlecht,Won,GTX Plus Pro,2/13/17,5/28/17,5639
Bioplex,WXCW16QT,Donn Cantrell,Lost,GTX Plus Pro,2/13/17,6/2/17,0
Zencorporation,UCXCUP1U,Garret Kinder,Won,GTX Plus Pro,2/13/17,5/18/17,4766
Opentech,SWJ9OOZU,Hayden Neloms,In Progress,MG Advanced,2/13/17,,
Scotfind,9ERRIZKG,Kami Bicknell,Lost,GTX Plus Basic,2/13/17,5/9/17,0
Singletechno,CKLYIFLY,Kary Hendrixson,Won,GTX Basic,2/13/17,5/11/17,589
Finhigh,6VDLCBYU,Marty Freudenburg,Lost,GTX Plus Pro,2/13/17,5/31/17,0
Hottechi,XYBPUC2H,Moses Frase,Lost,GTX Basic,2/13/17,5/16/17,0
Faxquote,B06D1F9M,Vicki Laflamme,In Progress,GTXPro,2/13/17,,
,OZ761BUJ,Violet Mclelland,In Progress,GTX Basic,2/13/17,,
Massive Dynamic,I3MC9XZC,Violet Mclelland,Won,GTX Basic,2/13/17,5/18/17,533
Conecom,L5T2HKKO,Anna Snelling,Lost,GTX Basic,2/14/17,5/5/17,0
Domzoom,6CEEGQ8I,Anna Snelling,Won,MG Special,2/14/17,5/30/17,63
Bioplex,P2LY9NFN,Cassey Cress,Won,GTXPro,2/14/17,5/8/17,4942
dambase,94GCWI08,Darcel Schlecht,Won,GTXPro,2/14/17,6/12/17,4650
Konmatfix,GUMQTC3J,Darcel Schlecht,Won,GTXPro,2/14/17,6/16/17,4829
Betasoloin,U64RT0UF,Donn Cantrell,Won,GTX Plus Basic,2/14/17,5/29/17,987
Gekko & Co,RWGSCFHR,Donn Cantrell,Won,GTX Plus Pro,2/14/17,3/2/17,4246
Iselectrics,GEBVQH17,Donn Cantrell,Won,GTX Plus Pro,2/14/17,5/6/17,5702
Silis,3OVJXUSB,Donn Cantrell,Won,MG Advanced,2/14/17,6/14/17,2981
Hottechi,KQPY8LLI,Gladys Colclough,Lost,MG Advanced,2/14/17,5/13/17,0
Konex,DC7COE9W,Hayden Neloms,Won,MG Advanced,2/14/17,5/1/17,2873
Treequote,3LED0EK3,Jonathan Berthelot,Lost,MG Advanced,2/14/17,5/11/17,0
Vehement Capital Partners,SCS5H8V1,Markita Hansen,In Progress,GTK 500,2/14/17,,
Bioholding,81MXE1H7,Markita Hansen,In Progress,MG Advanced,2/14/17,,
The New York Inquirer,G4MKT3AE,Rosie Papadopoulos,Lost,MG Special,2/14/17,5/7/17,0
Gogozoom,GQ125FX0,Versie Hillebrand,Won,GTX Basic,2/14/17,6/3/17,528
Scottech,JO52QXJ0,Versie Hillebrand,Won,GTX Plus Basic,2/14/17,6/18/17,1199
Zoomit,PQ2VF873,Zane Levy,Lost,GTXPro,2/14/17,3/1/17,0
Streethex,N6H58J55,Anna Snelling,Lost,GTX Basic,2/15/17,5/13/17,0
,W24IDMVV,Corliss Cosme,In Progress,GTX Plus Pro,2/15/17,,
Streethex,WR6Q2X53,Darcel Schlecht,Lost,GTX Plus Pro,2/15/17,5/8/17,0
Bluth Company,8O1WNJBA,Garret Kinder,Lost,GTX Basic,2/15/17,3/23/17,0
Ontomedia,X1LAD57Y,Garret Kinder,Lost,GTX Plus Pro,2/15/17,3/4/17,0
Ganjaflex,E2NXQUWO,Garret Kinder,Won,MG Advanced,2/15/17,3/6/17,3507
Fasehatice,MEZLJGRB,James Ascencio,Lost,GTX Basic,2/15/17,5/20/17,0
Green-Plus,M1QKPX6R,James Ascencio,Won,GTXPro,2/15/17,5/21/17,4542
Globex Corporation,X6LO8WPD,Jonathan Berthelot,Won,GTX Basic,2/15/17,5/28/17,505
,JQA8H6M5,Kami Bicknell,In Progress,GTX Plus Pro,2/15/17,,
,92G1TO7L,Kary Hendrixson,In Progress,GTX Basic,2/15/17,,
Cheers,S8WV5MUC,Kary Hendrixson,Lost,GTX Plus Basic,2/15/17,5/7/17,0
,FW2XJG9S,Markita Hansen,In Progress,GTX Plus Basic,2/15/17,,
Sonron,R7JI95HZ,Markita Hansen,Lost,GTXPro,2/15/17,5/31/17,0
,SVCKI631,Maureen Marcano,In Progress,GTX Basic,2/15/17,,
,VJ5QGP8Z,Maureen Marcano,In Progress,MG Advanced,2/15/17,,
Genco Pura Olive Oil Company,CVKLHZEO,Moses Frase,Won,GTX Basic,2/15/17,5/13/17,455
Initech,8KJZJFJ1,Reed Clapper,Won,GTX Basic,2/15/17,3/3/17,537
Opentech,W560QFJL,Reed Clapper,Won,GTX Plus Basic,2/15/17,3/4/17,1090
Stanredtax,TA3PW6ZQ,Versie Hillebrand,Lost,MG Advanced,2/15/17,5/24/17,0
Genco Pura Olive Oil Company,2DVE0XCM,Versie Hillebrand,Won,MG Special,2/15/17,3/17/17,60
Faxquote,L3UMWAX7,Vicki Laflamme,Lost,GTX Plus Basic,2/15/17,5/17/17,0
,R2W96FGX,Zane Levy,In Progress,GTX Basic,2/15/17,,
Plussunin,VOTOT8MK,Cassey Cress,Won,GTX Plus Pro,2/16/17,6/15/17,6509
Ron-tech,Y3ULGUD8,Cecily Lampkin,Won,GTX Plus Basic,2/16/17,5/18/17,1079
Silis,7350YGG4,Corliss Cosme,Won,GTX Plus Basic,2/16/17,5/29/17,1111
Mathtouch,2J16RN99,Donn Cantrell,Lost,GTXPro,2/16/17,5/21/17,0
Donquadtech,BRQRF65L,Donn Cantrell,Won,GTX Basic,2/16/17,3/2/17,462
Xx-zobam,LB6XW39X,Donn Cantrell,Won,GTX Basic,2/16/17,3/4/17,555
Conecom,WS9CXY7E,Gladys Colclough,Won,GTX Plus Pro,2/16/17,3/1/17,6719
Faxquote,CK0MDHHM,Hayden Neloms,Won,MG Advanced,2/16/17,6/2/17,3281
,KM1D04JS,James Ascencio,In Progress,GTX Plus Basic,2/16/17,,
Kan-code,RNUH1SI8,James Ascencio,Won,MG Advanced,2/16/17,5/7/17,3398
Labdrill,BNY8MJ6L,Kary Hendrixson,In Progress,GTX Basic,2/16/17,,
,INBGKE14,Kary Hendrixson,In Progress,GTXPro,2/16/17,,
Hottechi,D54HETSI,Kary Hendrixson,Lost,GTXPro,2/16/17,5/14/17,0
Domzoom,JOQQZ5RH,Marty Freudenburg,Won,GTX Basic,2/16/17,3/1/17,608
Globex Corporation,90V75MDV,Niesha Huffines,Lost,GTXPro,2/16/17,5/17/17,0
Donquadtech,LIIBOUUQ,Reed Clapper,Won,GTX Plus Basic,2/16/17,5/30/17,1187
,5KK2SSSB,Rosie Papadopoulos,In Progress,GTX Basic,2/16/17,,
Initech,UDYSM42B,Violet Mclelland,Won,GTX Plus Pro,2/16/17,6/22/17,5855
,V3HVIJLL,Zane Levy,In Progress,GTX Basic,2/16/17,,
Cancity,F835LA4P,Darcel Schlecht,Won,GTXPro,2/17/17,5/10/17,5068
Gekko & Co,75Q82XU7,Donn Cantrell,Lost,GTX Plus Basic,2/17/17,6/13/17,0
Betasoloin,AMNKCM1H,Elease Gluck,In Progress,MG Special,2/17/17,,
J-Texon,2U6QQHCC,James Ascencio,Won,GTX Plus Pro,2/17/17,6/19/17,4066
Isdom,MMKMJ0WC,Jonathan Berthelot,Won,GTXPro,2/17/17,6/7/17,4494
Finjob,CZIXINO2,Kami Bicknell,Lost,GTX Basic,2/17/17,5/4/17,0
Nam-zim,HV7Y6184,Kami Bicknell,Lost,GTXPro,2/17/17,5/28/17,0
Plexzap,KIHC1QJQ,Kami Bicknell,Won,GTX Basic,2/17/17,5/9/17,540
Conecom,VBWQO6BM,Niesha Huffines,Lost,MG Advanced,2/17/17,5/14/17,0
Domzoom,LTZCN1RA,Versie Hillebrand,Won,MG Special,2/17/17,5/19/17,54
,84LN84VM,Vicki Laflamme,In Progress,MG Advanced,2/17/17,,
Lexiqvolax,YO32O3T9,Zane Levy,Lost,GTXPro,2/17/17,5/28/17,0
,MU7JWTP6,Cassey Cress,In Progress,MG Special,2/18/17,,
Zathunicon,8638OV6W,Corliss Cosme,Lost,MG Special,2/18/17,5/26/17,0
Hottechi,TTJXSO57,Darcel Schlecht,Lost,GTXPro,2/18/17,5/20/17,0
Betasoloin,K4VP5HK4,Donn Cantrell,Won,MG Advanced,2/18/17,5/8/17,3602
Betatech,10R46CSK,Lajuana Vencill,Won,MG Advanced,2/18/17,5/7/17,2904
Sonron,VBA34LWX,Markita Hansen,Won,GTX Basic,2/18/17,5/31/17,571
Genco Pura Olive Oil Company,DLJN7WG0,Marty Freudenburg,Lost,MG Special,2/18/17,5/30/17,0
Zathunicon,FJCCTOPN,Reed Clapper,Won,GTX Basic,2/18/17,6/18/17,492
Zathunicon,LR6USOHL,Reed Clapper,Won,GTXPro,2/18/17,5/27/17,4545
Cancity,5VAV2TUY,Versie Hillebrand,Won,GTX Plus Pro,2/18/17,3/25/17,5614
Betatech,HTD2ME9C,Anna Snelling,Won,GTX Plus Pro,2/19/17,6/12/17,5370
Zencorporation,GHUCMUPL,Boris Faz,Won,GTX Basic,2/19/17,5/2/17,550
Yearin,1LKY3B4X,Cassey Cress,Won,GTX Plus Basic,2/19/17,3/2/17,1011
Sumace,7Y5E0RDL,Corliss Cosme,Won,MG Special,2/19/17,6/18/17,56
,9HRMW8SL,Daniell Hammack,In Progress,MG Special,2/19/17,,
Codehow,BEQIZZ7W,Darcel Schlecht,Won,GTX Plus Basic,2/19/17,3/4/17,1217
Bubba Gump,44F8ZE41,Donn Cantrell,Lost,GTX Basic,2/19/17,5/19/17,0
Kan-code,YJIH415V,Donn Cantrell,Won,MG Advanced,2/19/17,5/10/17,3222
Bioplex,K3DQJ796,Garret Kinder,Lost,GTX Basic,2/19/17,5/14/17,0
Massive Dynamic,6QF3D2RI,Garret Kinder,Lost,GTX Basic,2/19/17,5/5/17,0
Opentech,G9565UWZ,Garret Kinder,Won,MG Advanced,2/19/17,3/1/17,3348
Conecom,RFKIN7FG,Jonathan Berthelot,Lost,GTX Basic,2/19/17,5/25/17,0
Faxquote,WJQ8VD51,Kami Bicknell,In Progress,GTX Basic,2/19/17,,
Newex,2BWZLXZ8,Kami Bicknell,Won,GTXPro,2/19/17,3/5/17,4216
,1WHXI2RW,Markita Hansen,In Progress,GTX Plus Basic,2/19/17,,
,G5JP0G7Q,Markita Hansen,In Progress,MG Advanced,2/19/17,,
Stanredtax,2QHRL8CW,Moses Frase,Won,GTX Basic,2/19/17,5/28/17,404
Initech,RFYAI0WA,Rosie Papadopoulos,Lost,GTX Plus Pro,2/19/17,6/8/17,0
Zathunicon,WH0DJCGL,Rosie Papadopoulos,Lost,MG Special,2/19/17,6/14/17,0
Sumace,LCW83256,Rosie Papadopoulos,Won,GTXPro,2/19/17,3/4/17,5260
,RVH3UUKY,Vicki Laflamme,In Progress,MG Advanced,2/19/17,,
Kan-code,IHFM8QXN,Vicki Laflamme,Lost,GTX Plus Basic,2/19/17,3/7/17,0
Donquadtech,QCY951QA,Violet Mclelland,Won,MG Special,2/19/17,5/6/17,51
,CG9VXPV1,Zane Levy,In Progress,GTX Basic,2/19/17,,
Scotfind,09BVA55J,Zane Levy,Won,GTX Basic,2/19/17,6/25/17,598
Konex,2R9HXKXT,Boris Faz,Lost,GTX Plus Basic,2/20/17,5/25/17,0
Zathunicon,JLK8KCNN,Boris Faz,Won,MG Special,2/20/17,5/24/17,42
Vehement Capital Partners,SZQUBIMH,Cassey Cress,Won,GTXPro,2/20/17,6/7/17,4689
Statholdings,8ZYVKQ27,Cecily Lampkin,Won,GTX Plus Pro,2/20/17,6/26/17,5154
Gogozoom,25A51PWG,Darcel Schlecht,Lost,GTXPro,2/20/17,5/16/17,0
Zencorporation,4B4XCPHT,Donn Cantrell,Won,GTXPro,2/20/17,5/5/17,5010
Finhigh,5JFOA4XC,Gladys Colclough,Won,MG Advanced,2/20/17,6/14/17,3215
Nam-zim,N5FOEJZ9,Kami Bicknell,Lost,GTX Basic,2/20/17,6/3/17,0
Donquadtech,CYWZJ2AI,Kary Hendrixson,In Progress,GTX Plus Basic,2/20/17,,
Hatfan,QTNPGKJ7,Kary Hendrixson,Won,GTXPro,2/20/17,6/26/17,3169
Scotfind,EBRWSMI0,Markita Hansen,Lost,GTX Plus Basic,2/20/17,6/27/17,0
Funholding,4PKHDQOQ,Marty Freudenburg,Won,GTX Plus Pro,2/20/17,6/3/17,5015
Dalttechnology,3Y9SB2QK,Maureen Marcano,Won,GTX Basic,2/20/17,3/1/17,571
